sport,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,response_body_len,sjit,djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,Label
47439,53,udp,INT,5e-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253639,1424253639,0.005,0.0,0.0,0.0,0.0,0,2,,, ,24,24,8,8,8,8,24,1
54531,111,udp,CON,0.005604,568,312,31,29,0,0,-,608137.0625,334047.125,4,4,0,0,0,0,142,78,0,0,2.151962,1.889627,1421933207,1421933207,1.529667,1.341667,0.0,0.0,0.0,0,0,0.0,0.0,0,15,20,7,7,1,1,4,0
1043,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424261718,1424261718,0.009,0.0,0.0,0.0,0.0,0,2,,, ,17,17,19,17,17,17,17,1
4339,42720,tcp,REQ,3e-06,90,0,254,0,1,0,-,119999992.0,0.0,2,0,255,0,0,0,45,0,0,0,0.0,0.0,1421933170,1421933170,0.003,0.0,0.0,0.0,0.0,0,6,0.0,0.0,0,13,14,2,1,1,1,1,0
15185,143,tcp,FIN,1.155862,7812,14870,31,29,30,32,-,53625.78125,102102.1563,122,126,255,255,77083981,2223361580,64,118,0,0,611.845694,608.221168,1421945178,1421945179,9.549686,9.242528,0.000823,0.000542,0.000281,0,0,0.0,0.0,0,5,8,15,5,3,3,3,0
47439,53,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424251853,1424251853,0.007,0.0,0.0,0.0,0.0,0,0,,, ,30,30,19,19,19,19,30,0
23635,53,udp,CON,0.00115,146,178,31,29,0,0,dns,507826.0625,619130.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421944074,1421944074,0.011,0.031,0.0,0.0,0.0,0,0,0.0,0.0,0,4,2,2,5,1,1,1,0
50931,31044,tcp,FIN,0.022909,2750,28874,31,29,7,16,-,938670.375,9864071.0,44,46,255,255,1186655988,1186976084,63,628,0,0,34.174975,34.323827,1421945634,1421945635,0.524977,0.495133,0.000772,0.000617,0.000155,0,0,0.0,0.0,0,19,8,8,16,4,4,4,0
1043,53,udp,INT,8e-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424260505,1424260505,0.008,0.0,0.0,0.0,0.0,0,0,,, ,32,32,15,15,15,15,32,0
49502,25,tcp,FIN,0.021651,37154,3380,31,29,18,8,smtp,13464505.0,1219343.25,52,42,255,255,89392925,90397296,715,80,0,0,22.387062,0.861861,1421941853,1421941853,0.417431,0.514829,0.000688,0.000535,0.000153,0,0,0.0,0.0,0,1,1,1,5,1,1,1,0
0,0,ipcomp,INT,1e-06,200,0,254,0,0,0,-,800000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251640,1424251640,0.001,0.0,0.0,0.0,0.0,0,2,,, ,4,4,2,2,2,2,4,1
52183,80,tcp,FIN,1.228009,1684,10168,31,29,3,5,http,10188.85059,62566.31641,14,18,255,255,1753346505,1754420189,120,565,1,3924,9411.425657,8239.441729,1421951477,1421951478,94.435077,72.202941,0.00071,0.000554,0.000156,0,0,1.0,0.0,0,1,1,1,1,1,1,1,0
1043,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424259097,1424259097,0.009,0.0,0.0,0.0,0.0,0,2,,, ,24,24,6,7,6,4,24,1
47439,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260502,1424260502,0.009,0.0,0.0,0.0,0.0,0,2,,, ,33,33,33,33,33,16,33,1
1043,53,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424255072,1424255072,0.008,0.0,0.0,0.0,0.0,0,2,,, ,15,15,14,14,14,14,15,1
5719,4927,tcp,FIN,0.198049,2854,29168,31,29,7,17,-,112780.1719,1153694.375,46,48,255,255,1967131037,4117031473,62,608,0,0,246.710196,239.740114,1421940815,1421940815,4.3938,4.200191,0.000805,0.000628,0.000177,0,0,0.0,0.0,0,8,5,3,2,1,1,1,0
11051,80,tcp,FIN,1.159652,1684,10168,31,29,3,5,http,10789.44336,66254.35938,14,18,255,255,3893896481,1774852845,120,565,1,3924,8834.373132,7736.056389,1421942210,1421942211,89.177231,68.181471,0.000706,0.000562,0.000144,0,0,1.0,0.0,0,1,3,1,2,1,1,1,0
58478,80,tcp,FIN,0.290744,790,1096,62,252,2,2,http,19563.60156,26387.47461,10,8,255,255,2302509072,500843296,79,137,1,149,1615.510107,59.426441,1421929743,1421929743,32.304889,40.15043,0.055741,0.009004,0.046737,0,1,1.0,0.0,0,1,1,1,1,1,1,1,1
5060,4569,udp,REQ,59.122383,7540,0,60,0,0,0,-,1011.461243,0.0,116,0,0,0,0,0,65,0,0,0,608.68625,0.0,1424259785,1424259844,520.432906,0.0,0.0,0.0,0.0,0,0,,, ,2,2,2,2,2,2,2,0
38660,25,tcp,FIN,0.288834,37342,3380,31,29,18,8,smtp,1014395.813,91401.97656,52,42,255,255,3480593695,1331987847,718,80,0,0,542.425625,20.077486,1424255782,1424255782,5.76938,7.026537,0.000892,0.000739,0.000153,0,0,,, ,1,1,3,4,1,1,1,0
24640,80,tcp,FIN,0.279971,1004,268,254,252,2,1,-,25831.24609,6400.663086,10,6,255,255,3080609893,7243818,100,45,0,0,1974.37246,69.287227,1421932323,1421932324,31.107889,37.547602,0.17587,0.083244,0.092626,0,1,0.0,0.0,0,1,1,1,1,1,1,1,1
7732,45452,tcp,FIN,0.024291,2646,21882,31,29,7,14,-,850685.4375,7035033.5,42,42,255,255,3759149556,1614091637,63,521,0,0,42.201776,1.222893,1421949927,1421949927,0.583463,0.577951,0.000745,0.000584,0.000161,0,0,0.0,0.0,0,6,5,4,2,1,1,1,0
58580,22,tcp,FIN,0.20897,3728,5474,31,29,7,7,ssh,138278.2188,200832.6563,32,24,255,255,3478211574,1333129329,117,228,0,0,473.174219,14.960385,1421943154,1421943155,6.740968,9.040565,0.000714,0.0006,0.000114,0,0,0.0,0.0,0,1,2,2,2,1,1,1,0
3953,5630,tcp,FIN,0.016983,2230,14952,31,29,7,11,-,1019843.313,6847788.5,34,36,255,255,2276000200,126701639,66,415,0,0,34.393688,34.683858,1421933542,1421933542,0.504909,0.483294,0.000948,0.000544,0.000404,0,0,0.0,0.0,0,12,10,1,6,1,1,1,0
42499,6881,tcp,FIN,0.019067,1540,1644,31,29,4,4,-,605863.5,651597.0,16,18,255,255,3372225739,1232451791,96,91,0,0,78.789202,2.017386,1424257056,1424257056,1.248733,1.095177,0.00056,0.000446,0.000114,0,0,,, ,12,8,7,10,5,1,6,0
0,0,visa,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258807,1424258807,0.004,0.0,0.0,0.0,0.0,0,2,,, ,4,4,3,4,3,3,4,1
0,0,ospf,REQ,33.520821,7560,0,254,0,0,0,-,1778.476807,0.0,70,0,0,0,0,0,108,0,0,0,571.28375,0.0,1421928521,1421928555,496.161938,0.0,0.0,0.0,0.0,0,6,0.0,0.0,0,7,6,2,3,2,2,2,1
59502,53,udp,CON,0.001057,130,162,31,29,0,0,dns,491958.375,613055.8125,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421953276,1421953276,0.011,0.008,0.0,0.0,0.0,0,0,0.0,0.0,0,2,2,1,2,1,1,1,0
1043,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251632,1424251632,0.009,0.0,0.0,0.0,0.0,0,2,,, ,8,8,8,8,8,8,8,1
31107,53,udp,CON,0.001091,130,162,31,29,0,0,dns,476626.9375,593950.5,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421930896,1421930896,0.011,0.009,0.0,0.0,0.0,0,0,0.0,0.0,0,3,3,2,5,1,1,1,0
37546,14137,tcp,FIN,0.023979,2542,20614,31,29,7,13,-,827057.0,6696526.0,40,38,255,255,2354360958,2354649443,64,542,0,0,43.982093,1.233482,1421935196,1421935196,0.605667,0.633108,0.000711,0.000543,0.000168,0,0,0.0,0.0,0,5,6,3,3,1,1,2,0
47439,53,udp,INT,1.6e-05,114,0,254,0,0,0,dns,28500000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424261186,1424261186,0.016,0.0,0.0,0.0,0.0,0,2,,, ,13,13,13,13,13,13,13,1
0,0,pnni,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424251637,1424251637,0.005,0.0,0.0,0.0,0.0,0,2,,, ,4,4,2,2,2,2,5,1
1043,53,udp,INT,1e-06,114,0,254,0,0,0,dns,456000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424252735,1424252735,0.001,0.0,0.0,0.0,0.0,0,2,,, ,33,33,16,18,16,16,33,1
1043,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424261150,1424261150,0.009,0.0,0.0,0.0,0.0,0,2,,, ,29,29,13,14,13,13,29,1
18378,80,tcp,FIN,1.063657,1580,10168,31,29,3,5,http,10898.25,72233.8125,12,18,255,255,3822436777,1678138512,132,565,1,3924,9548.303083,7688.808333,1424253273,1424253274,96.665726,62.535886,0.000698,0.000543,0.000155,0,0,1.0,, ,1,1,1,1,1,1,2,0
48030,80,tcp,FIN,0.645001,948,354,254,252,2,1,http,10592.23145,3844.955322,10,8,255,255,1457765678,3321999460,95,44,1,0,4035.643817,129.273672,1424251843,1424251844,65.478889,82.560859,0.125614,0.067065,0.058549,0,1,1.0,, ,1,1,1,1,1,1,1,1
1043,53,udp,INT,2e-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424254684,1424254684,0.002,0.0,0.0,0.0,0.0,0,0,,, ,36,36,21,21,21,21,36,0
46160,111,tcp,FIN,0.651431,564,354,254,252,2,1,-,6238.573242,3807.003174,10,8,255,255,2639424543,3014257280,56,44,0,0,5584.083634,140.548891,1421929629,1421929629,71.385778,91.71557,0.065325,0.009418,0.055907,0,1,0.0,0.0,0,2,1,1,1,1,1,1,1
47439,53,udp,INT,7e-06,114,0,254,0,0,0,dns,65142856.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424262056,1424262056,0.007,0.0,0.0,0.0,0.0,0,2,,, ,28,28,28,28,28,12,28,1
0,0,unas,INT,1e-05,200,0,254,0,0,0,-,80000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930804,1421930804,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,11,11,2,3,2,2,2,1
47439,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424255092,1424255092,0.009,0.0,0.0,0.0,0.0,0,2,,, ,27,27,27,28,27,14,27,1
24317,22277,tcp,FIN,0.040063,2854,31142,31,29,7,17,-,557521.875,6089209.5,46,48,255,255,361388240,2538843891,62,649,0,0,61.002853,58.990758,1421952140,1421952140,0.881711,0.84034,0.000694,0.000564,0.00013,0,0,0.0,0.0,0,7,9,2,4,1,1,1,0
48542,80,tcp,FIN,0.457273,808,2166,62,252,2,2,http,12736.37402,33170.55469,10,8,255,255,1496451597,3464203195,81,271,0,0,2497.887772,79.46575,1421932225,1421932226,50.795111,59.04357,0.103954,0.043945,0.060009,0,1,0.0,0.0,0,1,1,1,1,1,1,1,1
1043,53,udp,INT,3e-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424254875,1424254875,0.003,0.0,0.0,0.0,0.0,0,0,,, ,26,26,17,17,17,17,26,0
1043,53,udp,INT,5e-06,114,0,254,0,0,0,dns,91200000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424253355,1424253355,0.005,0.0,0.0,0.0,0.0,0,2,,, ,33,33,4,4,4,4,33,1
1043,53,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424259021,1424259021,0.008,0.0,0.0,0.0,0.0,0,2,,, ,35,35,21,22,21,12,35,1
16420,21,tcp,FIN,1.051618,2934,3742,31,29,11,15,ftp,21893.88281,27941.70508,52,54,255,255,56080850,57678880,56,69,0,0,1518.478188,53.809832,1424256341,1424256342,20.613882,19.825566,0.001001,0.00086,0.000141,0,0,,1.0,1,1,1,4,5,1,1,5,0
1043,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260156,1424260156,0.009,0.0,0.0,0.0,0.0,0,2,,, ,28,28,13,13,13,13,28,1
3349,80,tcp,FIN,0.863743,846,3056,62,252,2,2,http,7057.654785,24766.62695,10,8,255,255,811352500,3127707825,85,382,1,1098,5649.530106,150.347484,1424254209,1424254210,95.958889,108.870141,0.143118,0.101644,0.041474,0,1,1.0,, ,1,1,2,2,1,1,5,1
18735,53,udp,CON,0.001184,146,178,31,29,0,0,dns,493243.2188,601351.3125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424257448,1424257448,0.005,0.009,0.0,0.0,0.0,0,0,,, ,4,5,1,2,1,1,2,0
33850,53,udp,CON,0.001056,146,178,31,29,0,0,dns,553030.3125,674242.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424260558,1424260558,0.008,0.005,0.0,0.0,0.0,0,0,,, ,1,3,2,3,1,1,1,0
0,0,ipv6,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424258785,1424258785,0.005,0.0,0.0,0.0,0.0,0,2,,, ,7,7,2,4,2,2,7,1
23594,21049,tcp,FIN,0.004272,528,8824,31,29,1,4,ftp-data,891385.8125,15147940.0,10,12,255,255,2379011750,2390115191,53,735,0,0,34.84474,21.22287,1424254162,1424254162,0.429667,0.345545,0.000588,0.000468,0.00012,0,0,,, ,3,3,6,7,1,1,4,0
42989,5189,tcp,FIN,0.027879,3926,58386,31,29,7,27,-,1109652.5,16507909.0,66,68,255,255,3250689447,3265997421,59,859,0,0,0.0,21.695104,1421940412,1421940412,0.430672,0.408194,0.000658,0.000527,0.000131,0,0,0.0,0.0,0,4,6,3,3,1,1,1,0
47439,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260121,1424260121,0.009,0.0,0.0,0.0,0.0,0,2,,, ,37,37,27,28,27,13,37,1
18952,37793,udp,CON,0.001776,536,304,31,29,0,0,-,1810810.75,1027027.0,4,4,0,0,0,0,134,76,0,0,0.634982,0.311137,1421945582,1421945582,0.453,0.225,0.0,0.0,0.0,0,0,0.0,0.0,0,13,19,20,10,2,2,10,0
36312,25,tcp,FIN,0.351816,37362,3172,31,29,18,8,smtp,833253.75,70241.26563,52,38,255,255,67353530,68392592,719,83,0,0,943.750046,34.013254,1421938123,1421938124,6.891412,9.494946,0.000634,0.000497,0.000137,0,0,0.0,0.0,0,1,1,1,1,1,1,1,0
1043,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424261016,1424261016,0.003,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,1,1,1,1,1
1043,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424252309,1424252309,0.003,0.0,0.0,0.0,0.0,0,2,,, ,16,16,16,17,16,16,16,1
47439,53,udp,INT,6e-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260073,1424260073,0.006,0.0,0.0,0.0,0.0,0,2,,, ,29,29,16,16,16,16,29,1
47439,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424254912,1424254912,0.009,0.0,0.0,0.0,0.0,0,2,,, ,25,25,11,10,10,10,25,1
0,0,encap,INT,4e-06,200,0,254,0,0,0,-,72727272.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1421930707,1421930707,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,14,14,4,8,4,4,4,1
64317,21,tcp,FIN,1.785815,2588,3608,31,29,10,14,ftp,11342.7207,15853.82617,46,52,255,255,3831939322,1927602549,56,69,0,0,2789.052827,2483.160806,1421949072,1421949074,39.676909,35.002274,0.000836,0.000695,0.000141,0,0,0.0,1.0,1,2,1,10,5,1,1,1,0
63703,6881,tcp,FIN,3.86357,13662,548216,31,29,21,197,-,28170.83789,1132558.75,238,438,255,255,3817914218,1699078428,57,1252,0,0,6254.920737,4606.21013,1421929955,1421929959,16.300354,8.840059,0.000592,0.00046,0.000132,0,0,0.0,0.0,0,13,12,6,5,2,1,2,0
39834,80,tcp,FIN,0.199119,838,8554,62,252,2,4,http,30333.61914,315067.875,10,12,255,255,1228546674,3944172338,84,713,1,3774,1135.965149,1471.568962,1424251073,1424251074,22.124333,15.984908,0.062398,0.016782,0.045616,0,1,1.0,, ,1,1,1,1,1,1,1,1
47439,53,udp,INT,9e-06,114,0,254,0,0,0,dns,50666664.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260869,1424260869,0.009,0.0,0.0,0.0,0.0,0,2,,, ,32,32,17,16,16,16,32,1
1043,53,udp,INT,3e-06,114,0,254,0,0,0,dns,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424254645,1424254645,0.003,0.0,0.0,0.0,0.0,0,2,,, ,22,22,16,16,16,16,22,1
52442,5190,tcp,FIN,0.21872,1958,2308,31,29,6,6,-,68361.375,80907.09375,22,24,255,255,2655515757,2655765402,89,96,0,0,576.550218,549.730288,1421928883,1421928883,10.396762,9.485565,0.000696,0.000545,0.000151,0,0,0.0,0.0,0,2,5,5,1,1,1,1,0
41579,53,udp,CON,0.001146,146,178,31,29,0,0,dns,509598.5938,621291.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424260317,1424260317,0.009,0.006,0.0,0.0,0.0,0,0,,, ,1,4,2,3,1,1,1,0
62511,179,tcp,FIN,0.596067,566,354,254,252,2,1,-,6844.868164,4160.605957,10,8,255,255,3704510706,2654656683,57,44,0,0,4172.683764,119.579969,1424250483,1424250484,66.129,74.82643,0.12604,0.072267,0.053773,0,1,,, ,7,6,2,3,2,1,6,1
1043,53,udp,INT,6e-06,114,0,254,0,0,0,dns,76000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251715,1424251715,0.006,0.0,0.0,0.0,0.0,0,2,,, ,26,26,6,6,6,6,26,1
1043,53,udp,INT,7e-06,264,0,60,0,0,0,dns,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424251848,1424251848,0.007,0.0,0.0,0.0,0.0,0,0,,, ,34,34,23,23,23,23,34,0
47439,53,udp,INT,2.7e-05,114,0,254,0,0,0,dns,16888888.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1421930743,1421930743,0.027,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,9,9,4,9,4,4,4,1
1043,53,udp,INT,8e-06,114,0,254,0,0,0,dns,57000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424252172,1424252172,0.008,0.0,0.0,0.0,0.0,0,2,,, ,13,13,13,13,13,13,13,1
1043,53,udp,INT,4e-06,114,0,254,0,0,0,dns,114000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260434,1424260434,0.004,0.0,0.0,0.0,0.0,0,2,,, ,42,42,33,33,33,17,42,1
32050,59576,tcp,FIN,0.004209,8928,320,31,29,4,1,ftp-data,15758612.0,507483.9375,14,6,255,255,561215460,2721652404,638,53,0,0,17.043802,1.128602,1421928571,1421928571,0.323769,0.7162,0.000627,0.000495,0.000132,0,0,0.0,0.0,0,2,5,5,7,1,1,4,0
